entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
2025-02-03 11:00:00-05:00,2025-02-03 11:05:00-05:00,1,6023.5,6017.5,-31.0,stop
2025-02-03 11:10:00-05:00,2025-02-03 11:30:00-05:00,1,6026.3125,6020.3125,-31.0,stop
2025-02-04 10:15:00-05:00,2025-02-04 10:30:00-05:00,1,6053.375,6047.375,-31.0,stop
2025-02-04 10:35:00-05:00,2025-02-04 10:55:00-05:00,1,6053.9375,6047.9375,-31.0,stop
2025-02-04 11:00:00-05:00,2025-02-04 11:30:00-05:00,1,6053.5625,6063.875,50.5625,signal
2025-02-06 10:00:00-05:00,2025-02-06 10:35:00-05:00,1,6095.5625,6089.5625,-31.0,stop
2025-02-06 10:40:00-05:00,2025-02-06 10:45:00-05:00,1,6091.3125,6085.3125,-31.0,stop
2025-02-06 10:50:00-05:00,2025-02-06 11:30:00-05:00,1,6090.625,6098.0625,36.1875,signal
2025-02-10 10:00:00-05:00,2025-02-10 11:30:00-05:00,1,6078.8125,6081.875,14.3125,signal
2025-02-11 11:00:00-05:00,2025-02-11 11:30:00-05:00,1,6087.0625,6085.5,-8.8125,signal
2025-02-12 10:00:00-05:00,2025-02-12 10:15:00-05:00,-1,6044.875,6050.875,-31.0,stop
2025-02-12 10:20:00-05:00,2025-02-12 10:25:00-05:00,-1,6055.0,6061.0,-31.0,stop
2025-02-12 10:30:00-05:00,2025-02-12 10:35:00-05:00,-1,6054.9375,6060.9375,-31.0,stop
2025-02-13 10:00:00-05:00,2025-02-13 10:05:00-05:00,1,6089.875,6083.875,-31.0,stop
2025-02-13 10:10:00-05:00,2025-02-13 11:30:00-05:00,1,6090.3125,6104.875,71.8125,signal
2025-02-14 10:00:00-05:00,2025-02-14 10:40:00-05:00,1,6139.8125,6133.8125,-31.0,stop
2025-02-14 10:45:00-05:00,2025-02-14 11:20:00-05:00,1,6138.0,6132.0,-31.0,stop
2025-02-14 11:25:00-05:00,2025-02-14 11:30:00-05:00,1,6134.4375,6133.875,-3.8125,signal
2025-02-17 11:10:00-05:00,2025-02-17 11:30:00-05:00,1,6143.9375,6145.375,6.1875,signal
2025-02-19 11:00:00-05:00,2025-02-19 11:30:00-05:00,1,6137.9375,6145.375,36.1875,signal
2025-02-20 10:00:00-05:00,2025-02-20 10:05:00-05:00,-1,6113.0625,6119.0625,-31.0,stop
2025-02-20 10:10:00-05:00,2025-02-20 10:15:00-05:00,-1,6114.1875,6120.1875,-31.0,stop
2025-02-20 10:20:00-05:00,2025-02-20 11:30:00-05:00,-1,6122.3125,6113.625,42.4375,signal
2025-02-21 10:00:00-05:00,2025-02-21 11:30:00-05:00,-1,6111.6875,6100.875,53.0625,signal
2025-02-24 10:00:00-05:00,2025-02-24 10:10:00-05:00,-1,6010.375,6016.375,-31.0,stop
2025-02-24 10:15:00-05:00,2025-02-24 11:20:00-05:00,-1,6016.375,6022.375,-31.0,stop
2025-02-24 11:25:00-05:00,2025-02-24 11:30:00-05:00,-1,6026.5,6032.5,-31.0,stop
2025-02-25 10:00:00-05:00,2025-02-25 11:30:00-05:00,-1,5972.3125,5934.4375,188.375,signal
2025-02-27 10:00:00-05:00,2025-02-27 10:05:00-05:00,-1,5944.375,5950.375,-31.0,stop
2025-02-27 10:10:00-05:00,2025-02-27 10:15:00-05:00,-1,5957.5625,5963.5625,-31.0,stop
2025-02-27 10:20:00-05:00,2025-02-27 10:25:00-05:00,-1,5978.5,5984.5,-31.0,stop
2025-02-27 10:30:00-05:00,2025-02-27 10:35:00-05:00,-1,5974.375,5980.375,-31.0,stop
2025-02-27 10:40:00-05:00,2025-02-27 10:45:00-05:00,-1,5976.8125,5982.8125,-31.0,stop
2025-02-27 10:50:00-05:00,2025-02-27 11:10:00-05:00,-1,5972.3125,5978.3125,-31.0,stop
2025-02-27 11:15:00-05:00,2025-02-27 11:20:00-05:00,-1,5982.625,5988.625,-31.0,stop
2025-02-27 11:25:00-05:00,2025-02-27 11:30:00-05:00,-1,5974.0,5970.5625,16.1875,signal
2025-02-28 10:00:00-05:00,2025-02-28 10:05:00-05:00,-1,5884.8125,5890.8125,-31.0,stop
2025-02-28 10:10:00-05:00,2025-02-28 10:15:00-05:00,-1,5893.5,5899.5,-31.0,stop
2025-02-28 10:20:00-05:00,2025-02-28 10:25:00-05:00,-1,5892.625,5898.625,-31.0,stop
2025-02-28 10:30:00-05:00,2025-02-28 10:55:00-05:00,-1,5907.0,5913.0,-31.0,stop
2025-03-04 10:00:00-05:00,2025-03-04 11:30:00-05:00,-1,5777.0,5756.3125,102.4375,signal
2025-03-05 10:00:00-05:00,2025-03-05 10:05:00-05:00,-1,5794.6875,5800.6875,-31.0,stop
2025-03-05 10:10:00-05:00,2025-03-05 11:30:00-05:00,-1,5806.1875,5762.25,218.6875,signal
2025-03-06 10:00:00-05:00,2025-03-06 10:05:00-05:00,-1,5772.3125,5778.3125,-31.0,stop
2025-03-06 10:10:00-05:00,2025-03-06 10:15:00-05:00,-1,5792.3125,5798.3125,-31.0,stop
2025-03-06 10:20:00-05:00,2025-03-06 10:35:00-05:00,-1,5800.5625,5806.5625,-31.0,stop
2025-03-06 10:40:00-05:00,2025-03-06 11:30:00-05:00,-1,5815.5,5809.25,30.25,signal
2025-03-07 10:40:00-05:00,2025-03-07 10:45:00-05:00,-1,5709.3125,5715.3125,-31.0,stop
2025-03-07 10:50:00-05:00,2025-03-07 11:30:00-05:00,-1,5728.75,5693.625,174.625,signal
2025-03-10 10:00:00-04:00,2025-03-10 11:30:00-04:00,-1,5681.25,5671.8125,46.1875,signal
2025-03-11 10:35:00-04:00,2025-03-11 10:45:00-04:00,-1,5568.75,5574.75,-31.0,stop
2025-03-11 10:50:00-04:00,2025-03-11 10:55:00-04:00,-1,5573.5,5579.5,-31.0,stop
2025-03-11 11:00:00-04:00,2025-03-11 11:05:00-04:00,-1,5563.75,5569.75,-31.0,stop
2025-03-11 11:10:00-04:00,2025-03-11 11:15:00-04:00,-1,5594.5,5600.5,-31.0,stop
2025-03-11 11:20:00-04:00,2025-03-11 11:25:00-04:00,-1,5593.0,5599.0,-31.0,stop
2025-03-12 11:05:00-04:00,2025-03-12 11:15:00-04:00,-1,5559.0625,5565.0625,-31.0,stop
2025-03-12 11:20:00-04:00,2025-03-12 11:25:00-04:00,-1,5572.625,5578.625,-31.0,stop
2025-03-13 10:00:00-04:00,2025-03-13 10:05:00-04:00,-1,5565.5625,5571.5625,-31.0,stop
2025-03-13 10:10:00-04:00,2025-03-13 10:15:00-04:00,-1,5581.5625,5587.5625,-31.0,stop
2025-03-13 10:20:00-04:00,2025-03-13 10:25:00-04:00,-1,5593.875,5599.875,-31.0,stop
2025-03-13 10:30:00-04:00,2025-03-13 11:30:00-04:00,-1,5586.9375,5556.75,149.9375,signal
