entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
2025-02-06 10:00:00-05:00,2025-02-06 10:35:00-05:00,1,6095.5625,6089.5625,-31.0,stop
2025-02-06 10:40:00-05:00,2025-02-06 10:45:00-05:00,1,6091.3125,6085.3125,-31.0,stop
2025-02-06 10:50:00-05:00,2025-02-06 10:55:00-05:00,1,6090.625,6090.8125,-0.0625,signal
2025-02-12 10:15:00-05:00,2025-02-12 10:20:00-05:00,-1,6043.6875,6049.6875,-31.0,stop
2025-02-12 10:25:00-05:00,2025-02-12 10:35:00-05:00,-1,6055.625,6061.625,-31.0,stop
2025-02-14 10:15:00-05:00,2025-02-14 10:35:00-05:00,1,6140.25,6134.25,-31.0,stop
2025-02-14 10:40:00-05:00,2025-02-14 11:15:00-05:00,1,6135.25,6136.6875,6.1875,signal
2025-02-20 10:25:00-05:00,2025-02-20 11:30:00-05:00,-1,6122.625,6113.625,44.0,signal
2025-02-24 11:15:00-05:00,2025-02-24 11:20:00-05:00,-1,6016.1875,6022.1875,-31.0,stop
2025-02-27 10:15:00-05:00,2025-02-27 10:20:00-05:00,-1,5969.375,5975.375,-31.0,stop
2025-02-27 10:25:00-05:00,2025-02-27 11:15:00-05:00,-1,5981.6875,5987.6875,-31.0,stop
2025-02-28 10:00:00-05:00,2025-02-28 10:05:00-05:00,-1,5884.8125,5890.8125,-31.0,stop
2025-02-28 10:10:00-05:00,2025-02-28 10:15:00-05:00,-1,5893.5,5899.5,-31.0,stop
2025-02-28 10:20:00-05:00,2025-02-28 10:25:00-05:00,-1,5892.625,5898.625,-31.0,stop
2025-03-05 10:00:00-05:00,2025-03-05 10:05:00-05:00,-1,5794.6875,5800.6875,-31.0,stop
2025-03-05 10:10:00-05:00,2025-03-05 11:30:00-05:00,-1,5806.1875,5762.25,218.6875,signal
2025-03-06 10:00:00-05:00,2025-03-06 10:05:00-05:00,-1,5772.3125,5778.3125,-31.0,stop
2025-03-06 10:10:00-05:00,2025-03-06 10:15:00-05:00,-1,5792.3125,5798.3125,-31.0,stop
2025-03-06 10:20:00-05:00,2025-03-06 10:35:00-05:00,-1,5800.5625,5806.5625,-31.0,stop
2025-03-06 10:40:00-05:00,2025-03-06 10:50:00-05:00,-1,5815.5,5803.6875,58.0625,signal
2025-03-11 11:05:00-04:00,2025-03-11 11:10:00-04:00,-1,5579.25,5585.25,-31.0,stop
2025-03-11 11:15:00-04:00,2025-03-11 11:20:00-04:00,-1,5596.25,5602.25,-31.0,stop
2025-03-11 11:25:00-04:00,2025-03-11 11:30:00-04:00,-1,5589.0625,5595.0625,-31.0,stop
2025-03-13 10:10:00-04:00,2025-03-13 10:15:00-04:00,-1,5581.5625,5587.5625,-31.0,stop
2025-03-13 10:20:00-04:00,2025-03-13 10:25:00-04:00,-1,5593.875,5599.875,-31.0,stop
2025-03-13 10:30:00-04:00,2025-03-13 11:30:00-04:00,-1,5586.9375,5556.75,149.9375,signal
2025-03-17 10:00:00-04:00,2025-03-17 10:05:00-04:00,1,5661.6875,5655.6875,-31.0,stop
2025-03-17 10:10:00-04:00,2025-03-17 10:25:00-04:00,1,5667.5,5661.5,-31.0,stop
2025-03-17 10:30:00-04:00,2025-03-17 10:35:00-04:00,1,5656.125,5650.125,-31.0,stop
2025-03-17 10:40:00-04:00,2025-03-17 10:50:00-04:00,1,5664.0,5658.0,-31.0,stop
2025-03-17 10:55:00-04:00,2025-03-17 11:00:00-04:00,1,5651.8125,5645.8125,-31.0,stop
2025-03-19 10:50:00-04:00,2025-03-19 11:15:00-04:00,1,5698.0625,5701.5,16.1875,signal
2025-03-25 10:00:00-04:00,2025-03-25 11:30:00-04:00,1,5818.1875,5828.6875,51.5,signal
2025-03-31 10:00:00-04:00,2025-03-31 10:05:00-04:00,-1,5567.75,5573.75,-31.0,stop
