entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
2025-02-06 10:05:00-05:00,2025-02-06 10:30:00-05:00,1,6097.0,6091.0,-31.0,stop
2025-02-06 10:35:00-05:00,2025-02-06 10:45:00-05:00,1,6093.25,6087.25,-31.0,stop
2025-02-06 10:50:00-05:00,2025-02-06 11:30:00-05:00,1,6090.625,6098.0625,36.1875,signal
2025-02-10 10:00:00-05:00,2025-02-10 11:30:00-05:00,1,6078.8125,6081.875,14.3125,signal
2025-02-12 10:00:00-05:00,2025-02-12 10:15:00-05:00,-1,6044.875,6050.875,-31.0,stop
2025-02-12 10:20:00-05:00,2025-02-12 10:25:00-05:00,-1,6055.0,6061.0,-31.0,stop
2025-02-12 10:30:00-05:00,2025-02-12 10:35:00-05:00,-1,6054.9375,6060.9375,-31.0,stop
2025-02-13 10:05:00-05:00,2025-02-13 11:30:00-05:00,1,6087.375,6104.875,86.5,signal
2025-02-14 10:00:00-05:00,2025-02-14 10:40:00-05:00,1,6139.8125,6133.8125,-31.0,stop
2025-02-14 10:45:00-05:00,2025-02-14 11:20:00-05:00,1,6138.0,6132.0,-31.0,stop
2025-02-14 11:25:00-05:00,2025-02-14 11:30:00-05:00,1,6134.4375,6133.875,-3.8125,signal
2025-02-20 10:15:00-05:00,2025-02-20 10:20:00-05:00,-1,6120.125,6126.125,-31.0,stop
2025-02-20 10:25:00-05:00,2025-02-20 11:30:00-05:00,-1,6122.625,6113.625,44.0,signal
2025-02-24 10:15:00-05:00,2025-02-24 11:20:00-05:00,-1,6016.375,6022.375,-31.0,stop
2025-02-24 11:25:00-05:00,2025-02-24 11:30:00-05:00,-1,6026.5,6032.5,-31.0,stop
2025-02-27 10:50:00-05:00,2025-02-27 11:10:00-05:00,-1,5972.3125,5978.3125,-31.0,stop
2025-02-27 11:15:00-05:00,2025-02-27 11:20:00-05:00,-1,5982.625,5988.625,-31.0,stop
2025-02-27 11:25:00-05:00,2025-02-27 11:30:00-05:00,-1,5974.0,5970.5625,16.1875,signal
2025-03-05 10:15:00-05:00,2025-03-05 10:35:00-05:00,-1,5796.125,5802.125,-31.0,stop
2025-03-05 10:40:00-05:00,2025-03-05 11:30:00-05:00,-1,5795.0625,5762.25,163.0625,signal
2025-03-07 10:45:00-05:00,2025-03-07 10:50:00-05:00,-1,5726.5625,5732.5625,-31.0,stop
