variant,final_pnl,profit_factor,expectancy,win_rate,trades_per_day,trades,worst_intraday,max_dd,locked_days,commission
ensemble_mtf_ref,0.0,1.5116311236294135,14.87171052631579,0.3684210526315789,1.3359375,171,-527.375,-733.25,1,171.0
regime_only,-55.8125,0.9543638965064981,-1.3168004587155964,0.3853211009174312,1.703125,218,-512.4375,-473.5625,1,218.0
regime_pullback,-102.0,0.5290172968191544,-15.785657051282051,0.28205128205128205,1.21875,156,-461.4375,-333.25,0,156.0
regime_full,0.0,0.5150937510830763,-15.614955357142858,0.32142857142857145,0.4375,56,-218.625,-333.25,0,56.0
