symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
MES,2025-02-03 11:00:00-05:00,2025-02-03 11:05:00-05:00,1,6023.5,6017.5,-31.0,stop
MES,2025-02-03 11:10:00-05:00,2025-02-03 11:30:00-05:00,1,6026.3125,6020.3125,-31.0,stop
MES,2025-02-03 11:35:00-05:00,2025-02-03 11:40:00-05:00,1,6031.5,6025.5,-31.0,stop
MES,2025-02-03 11:45:00-05:00,2025-02-03 11:55:00-05:00,1,6030.6875,6024.6875,-31.0,stop
MES,2025-02-03 12:00:00-05:00,2025-02-03 12:05:00-05:00,1,6018.5625,6012.5625,-31.0,stop
MES,2025-02-03 12:10:00-05:00,2025-02-03 12:15:00-05:00,1,6018.5,6017.9375,-3.8125,signal
MES,2025-02-03 13:30:00-05:00,2025-02-03 13:40:00-05:00,1,6027.0,6021.0,-31.0,stop
MES,2025-02-03 13:45:00-05:00,2025-02-03 15:30:00-05:00,1,6028.25,6031.25,14.0,signal
MES,2025-02-04 10:10:00-05:00,2025-02-04 12:25:00-05:00,1,6051.0625,6045.0625,-31.0,stop
MES,2025-02-04 13:35:00-05:00,2025-02-04 15:30:00-05:00,1,6056.0,6057.0625,4.3125,signal
MES,2025-02-05 12:00:00-05:00,2025-02-05 13:25:00-05:00,1,6073.0,6067.0,-31.0,stop
MES,2025-02-05 13:30:00-05:00,2025-02-05 15:55:00-05:00,1,6071.5,6086.25,72.75,session_eod
MES,2025-02-06 09:30:00-05:00,2025-02-06 09:35:00-05:00,1,6101.875,6095.875,-31.0,stop
MES,2025-02-06 09:40:00-05:00,2025-02-06 10:25:00-05:00,1,6098.25,6092.25,-31.0,stop
MES,2025-02-06 10:30:00-05:00,2025-02-06 10:35:00-05:00,1,6093.875,6087.875,-31.0,stop
MES,2025-02-06 10:40:00-05:00,2025-02-06 10:45:00-05:00,1,6091.3125,6085.3125,-31.0,stop
MES,2025-02-06 10:50:00-05:00,2025-02-06 10:55:00-05:00,1,6090.625,6090.8125,-0.0625,signal
MES,2025-02-06 11:30:00-05:00,2025-02-06 11:45:00-05:00,1,6098.5625,6092.5625,-31.0,stop
MES,2025-02-06 11:50:00-05:00,2025-02-06 12:15:00-05:00,1,6097.125,6091.125,-31.0,stop
MES,2025-02-06 12:20:00-05:00,2025-02-06 12:30:00-05:00,1,6098.8125,6092.8125,-31.0,stop
MES,2025-02-06 12:55:00-05:00,2025-02-06 13:55:00-05:00,1,6100.625,6094.625,-31.0,stop
MES,2025-02-07 09:30:00-05:00,2025-02-07 10:00:00-05:00,1,6112.3125,6106.3125,-31.0,stop
MES,2025-02-07 15:00:00-05:00,2025-02-07 15:55:00-05:00,-1,6048.5625,6049.25,-4.4375,session_eod
