entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
2025-02-03 10:20:00-05:00,2025-02-03 11:30:00-05:00,1,5975.25,6026.3125,254.3125,signal
2025-02-05 10:10:00-05:00,2025-02-05 11:30:00-05:00,1,6040.1875,6057.3125,84.625,signal
2025-02-06 10:05:00-05:00,2025-02-06 10:30:00-05:00,1,6097.0,6091.0,-31.0,stop
2025-02-06 10:35:00-05:00,2025-02-06 10:45:00-05:00,1,6093.25,6087.25,-31.0,stop
2025-02-06 10:50:00-05:00,2025-02-06 11:30:00-05:00,1,6090.625,6098.0625,36.1875,signal
2025-02-07 10:50:00-05:00,2025-02-07 11:15:00-05:00,-1,6073.875,6079.875,-31.0,stop
2025-02-07 11:20:00-05:00,2025-02-07 11:30:00-05:00,-1,6075.875,6065.1875,52.4375,signal
2025-02-10 11:15:00-05:00,2025-02-10 11:30:00-05:00,1,6085.375,6079.375,-31.0,stop
2025-02-11 10:00:00-05:00,2025-02-11 10:25:00-05:00,-1,6072.75,6078.75,-31.0,stop
2025-02-11 10:30:00-05:00,2025-02-11 10:45:00-05:00,-1,6080.625,6086.625,-31.0,stop
2025-02-11 10:50:00-05:00,2025-02-11 11:30:00-05:00,-1,6089.9375,6086.0,18.6875,signal
2025-02-12 10:00:00-05:00,2025-02-12 10:15:00-05:00,-1,6044.875,6050.875,-31.0,stop
2025-02-12 10:20:00-05:00,2025-02-12 10:25:00-05:00,-1,6055.0,6061.0,-31.0,stop
2025-02-12 10:30:00-05:00,2025-02-12 10:35:00-05:00,-1,6054.9375,6060.9375,-31.0,stop
2025-02-12 10:40:00-05:00,2025-02-12 11:30:00-05:00,-1,6064.375,6046.8125,86.8125,signal
2025-02-13 10:05:00-05:00,2025-02-13 11:30:00-05:00,1,6087.375,6104.875,86.5,signal
2025-02-14 10:00:00-05:00,2025-02-14 10:40:00-05:00,1,6139.8125,6133.8125,-31.0,stop
2025-02-14 10:45:00-05:00,2025-02-14 11:20:00-05:00,1,6138.0,6132.0,-31.0,stop
2025-02-14 11:25:00-05:00,2025-02-14 11:30:00-05:00,1,6134.4375,6133.875,-3.8125,signal
2025-02-17 10:05:00-05:00,2025-02-17 11:30:00-05:00,1,6139.1875,6145.375,29.9375,signal
2025-02-18 10:10:00-05:00,2025-02-18 10:55:00-05:00,-1,6134.0,6140.0,-31.0,stop
2025-02-18 11:00:00-05:00,2025-02-18 11:30:00-05:00,-1,6139.375,6137.1875,9.9375,signal
2025-02-19 10:15:00-05:00,2025-02-19 11:30:00-05:00,1,6132.5,6145.375,63.375,signal
2025-02-20 10:15:00-05:00,2025-02-20 10:20:00-05:00,-1,6120.125,6126.125,-31.0,stop
2025-02-20 10:25:00-05:00,2025-02-20 11:30:00-05:00,-1,6122.625,6113.625,44.0,signal
2025-02-24 10:15:00-05:00,2025-02-24 11:20:00-05:00,-1,6016.375,6022.375,-31.0,stop
2025-02-24 11:25:00-05:00,2025-02-24 11:30:00-05:00,-1,6026.5,6032.5,-31.0,stop
2025-02-27 10:50:00-05:00,2025-02-27 11:10:00-05:00,-1,5972.3125,5978.3125,-31.0,stop
2025-02-27 11:15:00-05:00,2025-02-27 11:20:00-05:00,-1,5982.625,5988.625,-31.0,stop
2025-02-27 11:25:00-05:00,2025-02-27 11:30:00-05:00,-1,5974.0,5970.5625,16.1875,signal
2025-02-28 11:25:00-05:00,2025-02-28 11:30:00-05:00,-1,5889.0,5895.0,-31.0,stop
2025-03-03 10:25:00-05:00,2025-03-03 10:35:00-05:00,1,5959.375,5953.375,-31.0,stop
2025-03-03 10:40:00-05:00,2025-03-03 10:45:00-05:00,1,5966.125,5960.125,-31.0,stop
