ts_event,equity
2025-02-03 09:30:00-05:00,0.0
2025-02-03 09:35:00-05:00,36.25
2025-02-03 09:40:00-05:00,-12.5
2025-02-03 09:45:00-05:00,-12.5
2025-02-03 09:50:00-05:00,-12.5
2025-02-03 09:55:00-05:00,-12.5
2025-02-03 10:00:00-05:00,-12.5
2025-02-03 10:05:00-05:00,-12.5
2025-02-03 10:10:00-05:00,-12.5
2025-02-03 10:15:00-05:00,-12.5
2025-02-03 10:20:00-05:00,-12.5
2025-02-03 10:25:00-05:00,45.0
2025-02-03 10:30:00-05:00,65.0
2025-02-03 10:35:00-05:00,61.25
2025-02-03 10:40:00-05:00,133.75
2025-02-03 10:45:00-05:00,101.25
2025-02-03 10:50:00-05:00,103.75
2025-02-03 10:55:00-05:00,122.5
2025-02-03 11:00:00-05:00,107.5
2025-02-03 11:05:00-05:00,112.5
2025-02-03 11:10:00-05:00,137.5
2025-02-03 11:15:00-05:00,162.5
2025-02-03 11:20:00-05:00,160.0
2025-02-03 11:25:00-05:00,122.5
2025-02-03 11:30:00-05:00,152.5
2025-02-03 11:35:00-05:00,165.0
2025-02-03 11:40:00-05:00,165.0
2025-02-03 11:45:00-05:00,132.5
2025-02-03 11:50:00-05:00,156.25
2025-02-03 11:55:00-05:00,93.75
2025-02-03 12:00:00-05:00,87.5
2025-02-03 12:05:00-05:00,101.25
2025-02-03 12:10:00-05:00,88.75
2025-02-03 12:15:00-05:00,97.5
2025-02-03 12:20:00-05:00,97.5
2025-02-03 12:25:00-05:00,97.5
2025-02-03 12:30:00-05:00,97.5
2025-02-03 12:35:00-05:00,97.5
2025-02-03 12:40:00-05:00,97.5
2025-02-03 12:45:00-05:00,97.5
2025-02-03 12:50:00-05:00,97.5
2025-02-03 12:55:00-05:00,97.5
2025-02-03 13:00:00-05:00,97.5
2025-02-03 13:05:00-05:00,97.5
2025-02-03 13:10:00-05:00,97.5
2025-02-03 13:15:00-05:00,97.5
2025-02-03 13:20:00-05:00,97.5
2025-02-03 13:25:00-05:00,97.5
2025-02-03 13:30:00-05:00,97.5
2025-02-03 13:35:00-05:00,88.75
2025-02-03 13:40:00-05:00,68.75
2025-02-03 13:45:00-05:00,102.5
2025-02-03 13:50:00-05:00,118.75
2025-02-03 13:55:00-05:00,120.0
2025-02-03 14:00:00-05:00,121.25
2025-02-03 14:05:00-05:00,133.75
2025-02-03 14:10:00-05:00,161.25
2025-02-03 14:15:00-05:00,175.0
2025-02-03 14:20:00-05:00,173.75
2025-02-03 14:25:00-05:00,153.75
2025-02-03 14:30:00-05:00,165.0
2025-02-03 14:35:00-05:00,153.75
2025-02-03 14:40:00-05:00,175.0
2025-02-03 14:45:00-05:00,187.5
2025-02-03 14:50:00-05:00,176.25
2025-02-03 14:55:00-05:00,165.0
2025-02-03 15:00:00-05:00,176.25
2025-02-03 15:05:00-05:00,148.75
2025-02-03 15:10:00-05:00,132.5
2025-02-03 15:15:00-05:00,153.75
2025-02-03 15:20:00-05:00,147.5
2025-02-03 15:25:00-05:00,106.25
2025-02-03 15:30:00-05:00,111.25
2025-02-03 15:35:00-05:00,115.0
2025-02-03 15:40:00-05:00,130.0
2025-02-03 15:45:00-05:00,118.75
2025-02-03 15:50:00-05:00,131.25
2025-02-03 15:55:00-05:00,157.5
2025-02-04 09:30:00-05:00,0.0
2025-02-04 09:35:00-05:00,0.0
2025-02-04 09:40:00-05:00,0.0
2025-02-04 09:45:00-05:00,0.0
2025-02-04 09:50:00-05:00,0.0
2025-02-04 09:55:00-05:00,0.0
2025-02-04 10:00:00-05:00,0.0
2025-02-04 10:05:00-05:00,0.0
2025-02-04 10:10:00-05:00,0.0
2025-02-04 10:15:00-05:00,93.75
2025-02-04 10:20:00-05:00,56.25
2025-02-04 10:25:00-05:00,41.25
2025-02-04 10:30:00-05:00,56.25
2025-02-04 10:35:00-05:00,88.75
2025-02-04 10:40:00-05:00,83.75
2025-02-04 10:45:00-05:00,71.25
2025-02-04 10:50:00-05:00,68.75
2025-02-04 10:55:00-05:00,23.75
2025-02-04 11:00:00-05:00,101.25
2025-02-04 11:05:00-05:00,118.75
2025-02-04 11:10:00-05:00,121.25
2025-02-04 11:15:00-05:00,123.75
2025-02-04 11:20:00-05:00,131.25
2025-02-04 11:25:00-05:00,186.25
2025-02-04 11:30:00-05:00,158.75
2025-02-04 11:35:00-05:00,186.25
2025-02-04 11:40:00-05:00,138.75
2025-02-04 11:45:00-05:00,91.25
2025-02-04 11:50:00-05:00,118.75
2025-02-04 11:55:00-05:00,126.25
2025-02-04 12:00:00-05:00,141.25
