ts_event,equity
2025-02-03 09:30:00-05:00,0.0
2025-02-03 09:45:00-05:00,0.0
2025-02-03 10:00:00-05:00,0.0
2025-02-03 10:15:00-05:00,0.0
2025-02-03 10:30:00-05:00,0.0
2025-02-03 10:45:00-05:00,0.0
2025-02-03 11:00:00-05:00,0.0
2025-02-03 11:15:00-05:00,0.0
2025-02-03 11:30:00-05:00,0.0
2025-02-03 11:45:00-05:00,0.0
2025-02-03 12:00:00-05:00,0.0
2025-02-03 12:15:00-05:00,0.0
2025-02-03 12:30:00-05:00,0.0
2025-02-03 12:45:00-05:00,0.0
2025-02-03 13:00:00-05:00,0.0
2025-02-03 13:15:00-05:00,0.0
2025-02-03 13:30:00-05:00,0.0
2025-02-03 13:45:00-05:00,0.0
2025-02-03 14:00:00-05:00,0.0
2025-02-03 14:15:00-05:00,0.0
2025-02-03 14:30:00-05:00,0.0
2025-02-03 14:45:00-05:00,0.0
2025-02-03 15:00:00-05:00,0.0
2025-02-03 15:15:00-05:00,0.0
2025-02-03 15:30:00-05:00,0.0
2025-02-03 15:45:00-05:00,0.0
2025-02-04 09:30:00-05:00,-0.5
2025-02-04 09:45:00-05:00,-3.625
2025-02-04 10:00:00-05:00,48.875
2025-02-04 10:15:00-05:00,120.125
2025-02-04 10:30:00-05:00,106.375
2025-02-04 10:45:00-05:00,108.875
2025-02-04 11:00:00-05:00,120.125
2025-02-04 11:15:00-05:00,161.375
2025-02-04 11:30:00-05:00,168.875
2025-02-04 11:45:00-05:00,140.125
2025-02-04 12:00:00-05:00,162.625
2025-02-04 12:15:00-05:00,83.875
2025-02-04 12:30:00-05:00,70.125
2025-02-04 12:45:00-05:00,105.125
2025-02-04 13:00:00-05:00,105.125
2025-02-04 13:15:00-05:00,133.875
2025-02-04 13:30:00-05:00,142.625
2025-02-04 13:45:00-05:00,136.375
2025-02-04 14:00:00-05:00,126.375
2025-02-04 14:15:00-05:00,182.625
2025-02-04 14:30:00-05:00,191.375
2025-02-04 14:45:00-05:00,142.625
2025-02-04 15:00:00-05:00,161.375
2025-02-04 15:15:00-05:00,151.375
2025-02-04 15:30:00-05:00,148.875
2025-02-04 15:45:00-05:00,160.125
2025-02-05 09:30:00-05:00,-0.5
2025-02-05 09:45:00-05:00,-51.0
2025-02-05 10:00:00-05:00,-51.0
2025-02-05 10:15:00-05:00,-51.0
2025-02-05 10:30:00-05:00,-51.0
2025-02-05 10:45:00-05:00,-51.0
2025-02-05 11:00:00-05:00,-51.0
2025-02-05 11:15:00-05:00,-51.0
2025-02-05 11:30:00-05:00,-51.0
2025-02-05 11:45:00-05:00,-51.0
2025-02-05 12:00:00-05:00,-51.5
2025-02-05 12:15:00-05:00,-80.5625
2025-02-05 12:30:00-05:00,-76.8125
2025-02-05 12:45:00-05:00,-79.3125
2025-02-05 13:00:00-05:00,-74.3125
2025-02-05 13:15:00-05:00,-85.5625
2025-02-05 13:30:00-05:00,-75.5625
2025-02-05 13:45:00-05:00,-61.8125
2025-02-05 14:00:00-05:00,-49.3125
2025-02-05 14:15:00-05:00,-33.0625
2025-02-05 14:30:00-05:00,-40.5625
2025-02-05 14:45:00-05:00,-49.3125
2025-02-05 15:00:00-05:00,-43.0625
2025-02-05 15:15:00-05:00,-25.5625
2025-02-05 15:30:00-05:00,-49.3125
2025-02-05 15:45:00-05:00,-54.3125
2025-02-06 09:30:00-05:00,-0.5
2025-02-06 09:45:00-05:00,-39.875
2025-02-06 10:00:00-05:00,-38.625
2025-02-06 10:15:00-05:00,-46.125
2025-02-06 10:30:00-05:00,-51.0
2025-02-06 10:45:00-05:00,-51.5
2025-02-06 11:00:00-05:00,-55.5625
2025-02-06 11:15:00-05:00,-13.0625
2025-02-06 11:30:00-05:00,-35.5625
2025-02-06 11:45:00-05:00,-45.5625
2025-02-06 12:00:00-05:00,-45.5625
2025-02-06 12:15:00-05:00,-46.8125
2025-02-06 12:30:00-05:00,-39.3125
2025-02-06 12:45:00-05:00,-21.8125
2025-02-06 13:00:00-05:00,-19.3125
2025-02-06 13:15:00-05:00,-16.8125
2025-02-06 13:30:00-05:00,-25.5625
2025-02-06 13:45:00-05:00,-31.8125
2025-02-06 14:00:00-05:00,-34.3125
2025-02-06 14:15:00-05:00,-41.0625
2025-02-06 14:30:00-05:00,-41.0625
2025-02-06 14:45:00-05:00,-41.0625
2025-02-06 15:00:00-05:00,-41.0625
2025-02-06 15:15:00-05:00,-41.0625
2025-02-06 15:30:00-05:00,-41.0625
2025-02-06 15:45:00-05:00,-41.0625
2025-02-07 09:30:00-05:00,-0.5
2025-02-07 09:45:00-05:00,13.875
2025-02-07 10:00:00-05:00,-51.0
2025-02-07 10:15:00-05:00,-51.0
2025-02-07 10:30:00-05:00,-51.0
2025-02-07 10:45:00-05:00,-51.0
2025-02-07 11:00:00-05:00,-51.0
2025-02-07 11:15:00-05:00,-51.0
2025-02-07 11:30:00-05:00,-51.0
