ts_event,equity
2025-02-03 09:30:00-05:00,0.0
2025-02-03 09:35:00-05:00,0.0
2025-02-03 09:40:00-05:00,0.0
2025-02-03 09:45:00-05:00,0.0
2025-02-03 09:50:00-05:00,0.0
2025-02-03 09:55:00-05:00,0.0
2025-02-03 10:00:00-05:00,0.0
2025-02-03 10:05:00-05:00,0.0
2025-02-03 10:10:00-05:00,0.0
2025-02-03 10:15:00-05:00,0.0
2025-02-03 10:20:00-05:00,0.0
2025-02-03 10:25:00-05:00,0.0
2025-02-03 10:30:00-05:00,0.0
2025-02-03 10:35:00-05:00,0.0
2025-02-03 10:40:00-05:00,0.0
2025-02-03 10:45:00-05:00,0.0
2025-02-03 10:50:00-05:00,0.0
2025-02-03 10:55:00-05:00,0.0
2025-02-03 11:00:00-05:00,-0.5
2025-02-03 11:05:00-05:00,-32.25
2025-02-03 11:10:00-05:00,-32.75
2025-02-03 11:15:00-05:00,-9.0
2025-02-03 11:20:00-05:00,-11.5
2025-02-03 11:25:00-05:00,-64.5
2025-02-03 11:30:00-05:00,-65.0
2025-02-03 11:35:00-05:00,-53.75
2025-02-03 11:40:00-05:00,-96.75
2025-02-03 11:45:00-05:00,-97.25
2025-02-03 11:50:00-05:00,-74.75
2025-02-03 11:55:00-05:00,-129.0
2025-02-03 12:00:00-05:00,-129.5
2025-02-03 12:05:00-05:00,-117.0
2025-02-03 12:10:00-05:00,-129.5
2025-02-03 12:15:00-05:00,-121.25
2025-02-03 12:20:00-05:00,-121.25
2025-02-03 12:25:00-05:00,-121.25
2025-02-03 12:30:00-05:00,-121.25
2025-02-03 12:35:00-05:00,-121.25
2025-02-03 12:40:00-05:00,-121.25
2025-02-03 12:45:00-05:00,-121.25
2025-02-03 12:50:00-05:00,-121.25
2025-02-03 12:55:00-05:00,-121.25
2025-02-03 13:00:00-05:00,-121.25
2025-02-03 13:05:00-05:00,-121.25
2025-02-03 13:10:00-05:00,-121.25
2025-02-03 13:15:00-05:00,-121.25
2025-02-03 13:20:00-05:00,-121.25
2025-02-03 13:25:00-05:00,-121.25
2025-02-03 13:30:00-05:00,-121.75
2025-02-03 13:35:00-05:00,-130.5
2025-02-03 13:40:00-05:00,-153.5
2025-02-03 13:45:00-05:00,-154.0
2025-02-03 13:50:00-05:00,-139.0
2025-02-03 13:55:00-05:00,-137.75
2025-02-03 14:00:00-05:00,-136.5
2025-02-03 14:05:00-05:00,-124.0
2025-02-03 14:10:00-05:00,-96.5
2025-02-03 14:15:00-05:00,-82.75
2025-02-03 14:20:00-05:00,-84.0
2025-02-03 14:25:00-05:00,-104.0
2025-02-03 14:30:00-05:00,-92.75
2025-02-03 14:35:00-05:00,-104.0
2025-02-03 14:40:00-05:00,-82.75
2025-02-03 14:45:00-05:00,-70.25
2025-02-03 14:50:00-05:00,-81.5
2025-02-03 14:55:00-05:00,-92.75
2025-02-03 15:00:00-05:00,-81.5
2025-02-03 15:05:00-05:00,-109.0
2025-02-03 15:10:00-05:00,-125.25
2025-02-03 15:15:00-05:00,-104.0
2025-02-03 15:20:00-05:00,-110.25
2025-02-03 15:25:00-05:00,-151.5
2025-02-03 15:30:00-05:00,-147.0
2025-02-03 15:35:00-05:00,-147.0
2025-02-03 15:40:00-05:00,-147.0
2025-02-03 15:45:00-05:00,-147.0
2025-02-03 15:50:00-05:00,-147.0
2025-02-03 15:55:00-05:00,-147.0
2025-02-04 09:30:00-05:00,0.0
2025-02-04 09:35:00-05:00,0.0
2025-02-04 09:40:00-05:00,0.0
2025-02-04 09:45:00-05:00,0.0
2025-02-04 09:50:00-05:00,0.0
2025-02-04 09:55:00-05:00,0.0
2025-02-04 10:00:00-05:00,0.0
2025-02-04 10:05:00-05:00,0.0
2025-02-04 10:10:00-05:00,-0.5
2025-02-04 10:15:00-05:00,30.75
2025-02-04 10:20:00-05:00,12.0
2025-02-04 10:25:00-05:00,4.5
2025-02-04 10:30:00-05:00,12.0
2025-02-04 10:35:00-05:00,28.25
2025-02-04 10:40:00-05:00,25.75
2025-02-04 10:45:00-05:00,19.5
2025-02-04 10:50:00-05:00,18.25
2025-02-04 10:55:00-05:00,-4.25
2025-02-04 11:00:00-05:00,34.5
2025-02-04 11:05:00-05:00,43.25
2025-02-04 11:10:00-05:00,44.5
2025-02-04 11:15:00-05:00,45.75
2025-02-04 11:20:00-05:00,49.5
2025-02-04 11:25:00-05:00,77.0
2025-02-04 11:30:00-05:00,63.25
2025-02-04 11:35:00-05:00,77.0
2025-02-04 11:40:00-05:00,53.25
2025-02-04 11:45:00-05:00,29.5
2025-02-04 11:50:00-05:00,43.25
2025-02-04 11:55:00-05:00,47.0
2025-02-04 12:00:00-05:00,54.5
2025-02-04 12:05:00-05:00,43.25
2025-02-04 12:10:00-05:00,53.25
2025-02-04 12:15:00-05:00,5.75
2025-02-04 12:20:00-05:00,4.5
2025-02-04 12:25:00-05:00,-32.25
2025-02-04 12:30:00-05:00,-32.25
2025-02-04 12:35:00-05:00,-32.25
2025-02-04 12:40:00-05:00,-32.25
2025-02-04 12:45:00-05:00,-32.25
2025-02-04 12:50:00-05:00,-32.25
2025-02-04 12:55:00-05:00,-32.25
2025-02-04 13:00:00-05:00,-32.25
2025-02-04 13:05:00-05:00,-32.25
2025-02-04 13:10:00-05:00,-32.25
2025-02-04 13:15:00-05:00,-32.25
2025-02-04 13:20:00-05:00,-32.25
2025-02-04 13:25:00-05:00,-32.25
2025-02-04 13:30:00-05:00,-32.25
2025-02-04 13:35:00-05:00,-32.75
2025-02-04 13:40:00-05:00,-27.75
2025-02-04 13:45:00-05:00,-24.0
2025-02-04 13:50:00-05:00,-26.5
2025-02-04 13:55:00-05:00,-40.25
2025-02-04 14:00:00-05:00,-17.75
2025-02-04 14:05:00-05:00,-0.25
2025-02-04 14:10:00-05:00,7.25
2025-02-04 14:15:00-05:00,14.75
2025-02-04 14:20:00-05:00,18.5
2025-02-04 14:25:00-05:00,17.25
2025-02-04 14:30:00-05:00,28.5
2025-02-04 14:35:00-05:00,24.75
2025-02-04 14:40:00-05:00,24.75
2025-02-04 14:45:00-05:00,14.75
2025-02-04 14:50:00-05:00,18.5
2025-02-04 14:55:00-05:00,-2.75
2025-02-04 15:00:00-05:00,-4.0
2025-02-04 15:05:00-05:00,3.5
2025-02-04 15:10:00-05:00,14.75
2025-02-04 15:15:00-05:00,4.75
2025-02-04 15:20:00-05:00,-12.75
2025-02-04 15:25:00-05:00,-24.0
2025-02-04 15:30:00-05:00,-13.25
2025-02-04 15:35:00-05:00,-13.25
2025-02-04 15:40:00-05:00,-13.25
2025-02-04 15:45:00-05:00,-13.25
2025-02-04 15:50:00-05:00,-13.25
2025-02-04 15:55:00-05:00,-13.25
2025-02-05 09:30:00-05:00,0.0
2025-02-05 09:35:00-05:00,0.0
2025-02-05 09:40:00-05:00,0.0
2025-02-05 09:45:00-05:00,0.0
2025-02-05 09:50:00-05:00,0.0
2025-02-05 09:55:00-05:00,0.0
2025-02-05 10:00:00-05:00,0.0
2025-02-05 10:05:00-05:00,0.0
2025-02-05 10:10:00-05:00,0.0
2025-02-05 10:15:00-05:00,0.0
2025-02-05 10:20:00-05:00,0.0
2025-02-05 10:25:00-05:00,0.0
2025-02-05 10:30:00-05:00,0.0
2025-02-05 10:35:00-05:00,0.0
2025-02-05 10:40:00-05:00,0.0
2025-02-05 10:45:00-05:00,0.0
2025-02-05 10:50:00-05:00,0.0
2025-02-05 10:55:00-05:00,0.0
2025-02-05 11:00:00-05:00,0.0
2025-02-05 11:05:00-05:00,0.0
2025-02-05 11:10:00-05:00,0.0
2025-02-05 11:15:00-05:00,0.0
2025-02-05 11:20:00-05:00,0.0
2025-02-05 11:25:00-05:00,0.0
2025-02-05 11:30:00-05:00,0.0
2025-02-05 11:35:00-05:00,0.0
2025-02-05 11:40:00-05:00,0.0
2025-02-05 11:45:00-05:00,0.0
2025-02-05 11:50:00-05:00,0.0
2025-02-05 11:55:00-05:00,0.0
2025-02-05 12:00:00-05:00,-0.5
2025-02-05 12:05:00-05:00,2.0
2025-02-05 12:10:00-05:00,-4.25
2025-02-05 12:15:00-05:00,-10.5
2025-02-05 12:20:00-05:00,-32.25
2025-02-05 12:25:00-05:00,-32.75
2025-02-05 12:30:00-05:00,-35.25
2025-02-05 12:35:00-05:00,-35.25
2025-02-05 12:40:00-05:00,-31.5
2025-02-05 12:45:00-05:00,-21.5
2025-02-05 12:50:00-05:00,-19.0
2025-02-05 12:55:00-05:00,-26.5
2025-02-05 13:00:00-05:00,-20.25
2025-02-05 13:05:00-05:00,-27.75
2025-02-05 13:10:00-05:00,-22.75
2025-02-05 13:15:00-05:00,-17.75
2025-02-05 13:20:00-05:00,-26.5
2025-02-05 13:25:00-05:00,-30.25
2025-02-05 13:30:00-05:00,-19.0
2025-02-05 13:35:00-05:00,-1.5
2025-02-05 13:40:00-05:00,-4.0
2025-02-05 13:45:00-05:00,-2.75
2025-02-05 13:50:00-05:00,-14.0
2025-02-05 13:55:00-05:00,-11.5
2025-02-05 14:00:00-05:00,-4.0
2025-02-05 14:05:00-05:00,17.25
2025-02-05 14:10:00-05:00,13.5
2025-02-05 14:15:00-05:00,9.75
2025-02-05 14:20:00-05:00,13.5
2025-02-05 14:25:00-05:00,6.0
2025-02-05 14:30:00-05:00,3.5
2025-02-05 14:35:00-05:00,6.0
2025-02-05 14:40:00-05:00,-0.25
2025-02-05 14:45:00-05:00,-0.25
2025-02-05 14:50:00-05:00,-11.5
2025-02-05 14:55:00-05:00,-5.25
2025-02-05 15:00:00-05:00,3.5
2025-02-05 15:05:00-05:00,8.5
2025-02-05 15:10:00-05:00,11.0
2025-02-05 15:15:00-05:00,26.0
2025-02-05 15:20:00-05:00,39.75
2025-02-05 15:25:00-05:00,27.25
2025-02-05 15:30:00-05:00,22.25
2025-02-05 15:35:00-05:00,16.0
2025-02-05 15:40:00-05:00,-9.0
2025-02-05 15:45:00-05:00,-4.0
2025-02-05 15:50:00-05:00,16.0
2025-02-05 15:55:00-05:00,48.5
2025-02-06 09:30:00-05:00,-0.5
2025-02-06 09:35:00-05:00,-20.5
2025-02-06 09:40:00-05:00,-0.5
2025-02-06 09:45:00-05:00,2.0
2025-02-06 09:50:00-05:00,-5.5
