entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
2025-02-06 09:30:00-05:00,2025-02-06 09:35:00-05:00,1,6101.875,6095.875,-31.0,stop
2025-02-06 09:40:00-05:00,2025-02-06 10:25:00-05:00,1,6098.25,6092.25,-31.0,stop
2025-02-06 10:30:00-05:00,2025-02-06 10:35:00-05:00,1,6093.875,6087.875,-31.0,stop
2025-02-06 10:40:00-05:00,2025-02-06 10:45:00-05:00,1,6091.3125,6085.3125,-31.0,stop
2025-02-06 10:50:00-05:00,2025-02-06 10:55:00-05:00,1,6090.625,6090.8125,-0.0625,signal
2025-02-06 11:35:00-05:00,2025-02-06 12:30:00-05:00,1,6096.625,6094.5,-11.625,signal
2025-02-06 13:50:00-05:00,2025-02-06 13:55:00-05:00,1,6097.0625,6095.1875,-10.375,signal
2025-02-10 11:30:00-05:00,2025-02-10 11:35:00-05:00,1,6082.375,6082.0,-2.875,signal
2025-02-12 10:15:00-05:00,2025-02-12 10:20:00-05:00,-1,6043.6875,6049.6875,-31.0,stop
2025-02-12 10:25:00-05:00,2025-02-12 10:35:00-05:00,-1,6055.625,6061.625,-31.0,stop
2025-02-12 14:10:00-05:00,2025-02-12 14:30:00-05:00,-1,6066.5625,6072.5625,-31.0,stop
2025-02-12 14:35:00-05:00,2025-02-12 14:45:00-05:00,-1,6073.1875,6079.1875,-31.0,stop
2025-02-14 09:30:00-05:00,2025-02-14 11:15:00-05:00,1,6136.0,6136.6875,2.4375,signal
2025-02-14 14:25:00-05:00,2025-02-14 14:50:00-05:00,1,6138.0,6135.1875,-15.0625,signal
2025-02-19 09:35:00-05:00,2025-02-19 10:00:00-05:00,1,6134.8125,6128.8125,-31.0,stop
2025-02-20 10:25:00-05:00,2025-02-20 12:15:00-05:00,-1,6122.625,6119.6875,13.6875,signal
2025-02-20 13:40:00-05:00,2025-02-20 14:05:00-05:00,-1,6116.8125,6120.875,-21.3125,signal
2025-02-24 11:15:00-05:00,2025-02-24 11:20:00-05:00,-1,6016.1875,6022.1875,-31.0,stop
2025-02-24 14:50:00-05:00,2025-02-24 15:55:00-05:00,-1,6028.5625,6002.25,130.5625,session_eod
2025-02-25 09:30:00-05:00,2025-02-25 09:35:00-05:00,-1,6001.0625,6007.0625,-31.0,stop
2025-02-25 09:40:00-05:00,2025-02-25 11:55:00-05:00,-1,5999.0,5957.8125,204.9375,signal
2025-02-25 14:30:00-05:00,2025-02-25 14:35:00-05:00,-1,5963.5,5969.5,-31.0,stop
2025-02-26 09:35:00-05:00,2025-02-26 09:40:00-05:00,-1,5985.375,5991.375,-31.0,stop
2025-02-27 10:15:00-05:00,2025-02-27 10:20:00-05:00,-1,5969.375,5975.375,-31.0,stop
2025-02-27 10:25:00-05:00,2025-02-27 11:15:00-05:00,-1,5981.6875,5987.6875,-31.0,stop
2025-02-28 09:35:00-05:00,2025-02-28 09:40:00-05:00,-1,5869.1875,5875.1875,-31.0,stop
2025-02-28 09:45:00-05:00,2025-02-28 09:55:00-05:00,-1,5879.0625,5885.0625,-31.0,stop
2025-02-28 10:00:00-05:00,2025-02-28 10:05:00-05:00,-1,5884.8125,5890.8125,-31.0,stop
2025-02-28 10:10:00-05:00,2025-02-28 10:15:00-05:00,-1,5893.5,5899.5,-31.0,stop
2025-02-28 10:20:00-05:00,2025-02-28 10:25:00-05:00,-1,5892.625,5898.625,-31.0,stop
2025-03-04 09:35:00-05:00,2025-03-04 09:40:00-05:00,-1,5812.6875,5818.6875,-31.0,stop
2025-03-04 09:45:00-05:00,2025-03-04 11:50:00-05:00,-1,5806.9375,5778.875,139.3125,signal
2025-03-05 10:00:00-05:00,2025-03-05 10:05:00-05:00,-1,5794.6875,5800.6875,-31.0,stop
2025-03-05 10:10:00-05:00,2025-03-05 12:20:00-05:00,-1,5806.1875,5796.0,49.9375,signal
2025-03-06 10:00:00-05:00,2025-03-06 10:05:00-05:00,-1,5772.3125,5778.3125,-31.0,stop
2025-03-06 10:10:00-05:00,2025-03-06 10:15:00-05:00,-1,5792.3125,5798.3125,-31.0,stop
2025-03-06 10:20:00-05:00,2025-03-06 10:35:00-05:00,-1,5800.5625,5806.5625,-31.0,stop
2025-03-06 10:40:00-05:00,2025-03-06 10:50:00-05:00,-1,5815.5,5803.6875,58.0625,signal
2025-03-11 11:05:00-04:00,2025-03-11 11:10:00-04:00,-1,5579.25,5585.25,-31.0,stop
2025-03-11 11:15:00-04:00,2025-03-11 11:20:00-04:00,-1,5596.25,5602.25,-31.0,stop
2025-03-11 11:25:00-04:00,2025-03-11 11:30:00-04:00,-1,5589.0625,5595.0625,-31.0,stop
2025-03-12 11:45:00-04:00,2025-03-12 11:50:00-04:00,-1,5595.3125,5601.3125,-31.0,stop
2025-03-13 10:10:00-04:00,2025-03-13 10:15:00-04:00,-1,5581.5625,5587.5625,-31.0,stop
2025-03-13 10:20:00-04:00,2025-03-13 10:25:00-04:00,-1,5593.875,5599.875,-31.0,stop
2025-03-13 10:30:00-04:00,2025-03-13 14:25:00-04:00,-1,5586.9375,5540.4375,231.5,signal
2025-03-17 09:45:00-04:00,2025-03-17 09:50:00-04:00,1,5664.375,5658.375,-31.0,stop
2025-03-17 09:55:00-04:00,2025-03-17 10:00:00-04:00,1,5669.375,5663.375,-31.0,stop
2025-03-17 10:05:00-04:00,2025-03-17 10:30:00-04:00,1,5660.125,5654.125,-31.0,stop
2025-03-17 10:35:00-04:00,2025-03-17 10:55:00-04:00,1,5658.5625,5652.5625,-31.0,stop
2025-03-17 12:25:00-04:00,2025-03-17 12:40:00-04:00,1,5649.6875,5649.875,-0.0625,signal
2025-03-18 14:35:00-04:00,2025-03-18 14:45:00-04:00,-1,5618.5,5624.5,-31.0,stop
2025-03-18 15:55:00-04:00,2025-03-18 15:55:00-04:00,-1,5618.5625,5620.25,-9.4375,session_eod
2025-03-19 10:50:00-04:00,2025-03-19 11:15:00-04:00,1,5698.0625,5701.5,16.1875,signal
2025-03-25 09:30:00-04:00,2025-03-25 09:35:00-04:00,1,5826.375,5820.375,-31.0,stop
2025-03-25 09:40:00-04:00,2025-03-25 09:50:00-04:00,1,5821.0625,5815.0625,-31.0,stop
2025-03-25 09:55:00-04:00,2025-03-25 10:00:00-04:00,1,5820.8125,5814.8125,-31.0,stop
2025-03-25 10:05:00-04:00,2025-03-25 11:50:00-04:00,1,5818.6875,5822.875,19.9375,signal
2025-03-26 09:30:00-04:00,2025-03-26 09:50:00-04:00,1,5823.9375,5817.9375,-31.0,stop
2025-03-27 09:45:00-04:00,2025-03-27 09:50:00-04:00,-1,5731.625,5737.625,-31.0,stop
2025-03-27 12:00:00-04:00,2025-03-27 12:05:00-04:00,-1,5752.125,5758.125,-31.0,stop
2025-03-27 12:10:00-04:00,2025-03-27 12:15:00-04:00,-1,5759.6875,5765.6875,-31.0,stop
2025-03-27 12:20:00-04:00,2025-03-27 14:20:00-04:00,-1,5765.125,5751.9375,64.9375,signal
2025-03-28 09:35:00-04:00,2025-03-28 09:40:00-04:00,-1,5723.75,5729.75,-31.0,stop
2025-03-28 09:45:00-04:00,2025-03-28 14:30:00-04:00,-1,5719.0625,5627.6875,455.875,signal
2025-03-31 09:50:00-04:00,2025-03-31 09:55:00-04:00,-1,5549.3125,5555.3125,-31.0,stop
2025-03-31 10:00:00-04:00,2025-03-31 10:05:00-04:00,-1,5567.75,5573.75,-31.0,stop
