variant,mtf,cpr,final_pnl,max_dd,trades,trades_per_day,win_rate,expectancy,avg_win,avg_loss,profit_factor,locked_days
full,True,True,-117.5,-2711.25,317,2.4765625,0.2902208201892745,-2.7705047318611986,120.4945652173913,-53.172222222222224,0.9265907428690837,1
mtf_only,True,False,-86.25,-2663.75,319,2.4921875,0.31974921630094044,1.5274294670846396,125.37254901960785,-56.685483870967744,1.039611405808589,1
cpr_only,False,True,-451.25,-2117.5,505,3.9453125,0.2396039603960396,-9.227722772277227,123.0599173553719,-50.912109375,0.7616398767279191,3
neither,False,False,-336.25,-2095.0,682,5.328125,0.27126099706744866,-2.5597507331378297,123.95270270270271,-49.65191146881288,0.9292559873566479,3
