symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
MES,2025-02-03 09:30:00-05:00,2025-02-03 09:40:00-05:00,1,5981.5,5979.0,-13.5,signal
MES,2025-02-03 10:20:00-05:00,2025-02-03 12:15:00-05:00,1,5997.75,6019.75,109.0,signal
MES,2025-02-03 13:30:00-05:00,2025-02-03 15:30:00-05:00,1,6029.75,6032.5,12.75,reverse
MES,2025-02-03 15:30:00-05:00,2025-02-04 10:00:00-05:00,-1,6032.5,6043.75,-57.25,stop
MES,2025-02-04 10:10:00-05:00,2025-02-04 12:25:00-05:00,1,6050.0,6043.0,-36.0,stop
MES,2025-02-04 12:30:00-05:00,2025-02-04 12:40:00-05:00,-1,6042.75,6050.0,-37.25,stop
MES,2025-02-04 12:45:00-05:00,2025-02-04 12:55:00-05:00,-1,6048.0,6055.5,-38.5,stop
MES,2025-02-04 13:00:00-05:00,2025-02-04 13:20:00-05:00,-1,6049.5,6057.25,-39.75,stop
MES,2025-02-04 13:25:00-05:00,2025-02-04 13:30:00-05:00,-1,6056.5,6057.75,-7.25,signal
MES,2025-02-04 13:35:00-05:00,2025-02-04 15:30:00-05:00,1,6054.25,6058.25,19.0,signal
MES,2025-02-05 09:30:00-05:00,2025-02-05 11:00:00-05:00,-1,6048.5,6051.5,-16.0,signal
MES,2025-02-05 11:05:00-05:00,2025-02-05 11:15:00-05:00,1,6057.5,6048.5,-46.0,stop
MES,2025-02-05 11:20:00-05:00,2025-02-06 10:55:00-05:00,1,6049.0,6089.75,202.75,reverse
MES,2025-02-06 10:55:00-05:00,2025-02-06 11:10:00-05:00,-1,6089.75,6099.75,-51.0,stop
MES,2025-02-06 11:30:00-05:00,2025-02-06 12:30:00-05:00,1,6097.75,6095.25,-13.5,reverse
MES,2025-02-06 12:30:00-05:00,2025-02-06 12:35:00-05:00,-1,6095.25,6096.75,-8.5,signal
MES,2025-02-06 12:55:00-05:00,2025-02-06 13:55:00-05:00,1,6100.25,6095.25,-26.0,signal
MES,2025-02-06 14:10:00-05:00,2025-02-06 15:40:00-05:00,-1,6095.5,6094.25,5.25,reverse
MES,2025-02-06 15:40:00-05:00,2025-02-07 10:00:00-05:00,1,6094.25,6089.0,-27.25,signal
